TIPO,DISTRI,SKU,DESCRIPCIÓN,DESCRIPCIÓN BB,ene.-15,feb.-15,mar.-15,abr.-15,may.-15,jun.-15,jul.-15,ago.-15,sept.-15,oct.-15,nov.-15,dic.-15,ene.-16,feb.-16,mar.-16,abr.-16,may.-16,jun.-16,jul.-16,ago.-16,sept.-16,oct.-16,nov.-16,dic.-16,ene.-17,feb.-17,mar.-17,abr.-17,may.-17,jun.-17,jul.-17,ago.-17,sept.-17,oct.-17,nov.-17,dic.-17,ene.-18,feb.-18,mar.-18,abr.-18,may.-18,jun.-18,jul.-18,ago.-18,sept.-18,oct.-18,nov.-18,dic.-18,ene.-19,feb.-19,mar.-19,abr.-19,may.-19,jun.-19,jul.-19,ago.-19,sept.-19,oct.-19,nov.-19,dic.-19,0
VENTAS,DISTRIBUIDOR1,1002,AGUA1.5CG,PLAN Vta Trade,  7.642 ,  8.071 ,  9.113 ,  7.099 ,  4.696 ,  5.188 ,  4.386 ,  5.886 ,  5.681 ,  6.737 ,  7.008 ,  10.795 ,  9.669 ,  11.882 ,  8.291 ,  6.788 ,  4.365 ,  4.753 ,  5.789 ,  6.074 ,  5.183 ,  8.064 ,  8.308 ,  8.915 ,  10.540 ,  10.956 ,  8.661 ,  8.921 ,  6.732 ,  5.399 ,  5.801 ,  6.176 ,  7.614 ,  6.979 ,  9.642 ,  14.114 ,  11.443 ,  13.527 ,  7.824 ,  4.658 ,  -   ,  -   ,- 36 ,  243 ,  -   ,  2.657 ,  10.463 ,  9.476 ,  9.072 ,  9.488 ,  8.346 ,  7.953 ,  5.604 ,  5.496 ,  6.239 ,  6.011 ,  6.036 ,  7.008 ,  9.684 ,  10.461 ,
VENTAS,DISTRIBUIDOR2,1002,AGUA1.5CG,PLAN Vta Trade,  44.450 ,  24.752 ,  22.533 ,  10.720 ,  8.162 ,  5.622 ,  7.903 ,  5.738 ,  7.975 ,  8.130 ,  17.553 ,  36.058 ,  41.419 ,  21.507 ,  7.996 ,  6.004 ,  5.871 ,  5.079 ,  5.879 ,  6.851 ,  7.147 ,  10.492 ,  17.459 ,  32.181 ,  43.391 ,  28.171 ,  14.479 ,  9.277 ,  5.822 ,  5.979 ,  6.258 ,  7.935 ,  7.610 ,  17.123 ,  13.685 ,  32.161 ,  43.222 ,  22.076 ,  13.014 ,  10.871 ,  5.121 ,  4.484 ,  3.791 ,  296 ,  7.112 ,  6.735 ,  16.743 ,  36.221 ,  32.865 ,  23.708 ,  6.200 ,  10.068 ,  4.260 ,  3.863 ,  7.919 ,  4.187 ,  6.590 ,  9.003 ,  15.192 ,  37.350 ,
VENTAS,DISTRIBUIDOR3,1002,AGUA1.5CG,PLAN Vta Trade,  24.289 ,  27.766 ,  30.742 ,  20.166 ,  15.191 ,  15.915 ,  16.125 ,  16.027 ,  17.185 ,  21.326 ,  20.462 ,  32.470 ,  28.322 ,  36.186 ,  21.544 ,  15.160 ,  12.908 ,  14.467 ,  18.507 ,  16.004 ,  17.046 ,  18.589 ,  27.878 ,  32.823 ,  26.903 ,  29.659 ,  26.431 ,  19.143 ,  15.810 ,  16.540 ,  14.700 ,  17.963 ,  13.570 ,  18.110 ,  22.622 ,  30.938 ,  29.872 ,  29.838 ,  21.233 ,  5.654 ,  -   ,  -   ,  -   ,  -   ,  10.403 ,  22.140 ,  24.371 ,  22.544 ,  26.421 ,  25.911 ,  19.284 ,  21.318 ,  16.191 ,  12.402 ,  15.753 ,  15.030 ,  14.702 ,  18.114 ,  25.065 ,  27.963 ,
VENTAS,DISTRIBUIDOR4,1002,AGUA1.5CG,PLAN Vta Trade,  292.953 ,  280.245 ,  312.088 ,  261.473 ,  237.295 ,  220.074 ,  224.240 ,  223.237 ,  225.713 ,  239.127 ,  259.324 ,  333.742 ,  252.555 ,  325.413 ,  266.140 ,  239.936 ,  215.711 ,  218.488 ,  205.818 ,  230.274 ,  231.625 ,  234.290 ,  265.978 ,  317.962 ,  251.968 ,  307.524 ,  331.320 ,  210.828 ,  231.294 ,  234.479 ,  223.227 ,  221.251 ,  230.559 ,  234.429 ,  263.969 ,  304.687 ,  288.031 ,  265.511 ,  261.626 ,  44.415 ,  -   ,  -   ,  -   ,  -   ,  202.533 ,  236.114 ,  263.592 ,  247.629 ,  250.856 ,  257.684 ,  240.812 ,  236.499 ,  201.749 ,  192.749 ,  225.714 ,  196.692 ,  185.103 ,  233.394 ,  266.790 ,  271.677 ,
VENTAS,DISTRIBUIDOR5,1002,AGUA1.5CG,PLAN Vta Trade,  21.592 ,  19.311 ,  22.365 ,  13.868 ,  14.074 ,  12.639 ,  15.712 ,  10.698 ,  20.128 ,  14.228 ,  16.699 ,  31.436 ,  21.367 ,  25.910 ,  9.877 ,  16.075 ,  11.529 ,  11.805 ,  12.445 ,  13.323 ,  14.468 ,  15.784 ,  20.805 ,  25.102 ,  26.212 ,  28.257 ,  22.049 ,  16.146 ,  12.719 ,  13.080 ,  15.258 ,  10.771 ,  16.631 ,  18.401 ,  22.040 ,  24.090 ,  31.313 ,  26.735 ,  19.977 ,  4.365 ,  1.578 ,  68 ,- 14 ,- 5 ,  8.061 ,  19.047 ,  23.967 ,  20.825 ,  24.360 ,  16.932 ,  15.339 ,  14.291 ,  16.162 ,  9.379 ,  10.970 ,  11.750 ,  13.346 ,  18.092 ,  20.466 ,  21.410 ,
VENTAS,DISTRIBUIDOR6,1002,AGUA1.5CG,PLAN Vta Trade,  24.358 ,  17.784 ,  25.037 ,  19.788 ,  14.045 ,  11.842 ,  11.033 ,  12.943 ,  12.687 ,  16.642 ,  19.237 ,  25.556 ,  20.754 ,  25.371 ,  16.620 ,  14.133 ,  9.494 ,  10.993 ,  11.558 ,  12.240 ,  12.604 ,  13.228 ,  20.649 ,  26.601 ,  20.209 ,  20.711 ,  16.923 ,  15.173 ,  10.418 ,  10.216 ,  10.754 ,  8.348 ,  9.133 ,  15.661 ,  19.289 ,  24.242 ,  24.732 ,  18.530 ,  15.347 ,  7.224 ,  54 ,  8 ,  -   ,- 3 ,  6.441 ,  17.556 ,  17.687 ,  15.840 ,  22.192 ,  16.676 ,  13.448 ,  15.053 ,  10.203 ,  10.431 ,  10.433 ,  9.336 ,  11.135 ,  12.737 ,  19.940 ,  23.399 ,
VENTAS,DISTRIBUIDOR7,1002,AGUA1.5CG,PLAN Vta Trade,  5.893 ,  6.129 ,  6.012 ,  4.220 ,  3.189 ,  3.381 ,  3.104 ,  2.815 ,  4.230 ,  3.655 ,  5.422 ,  7.856 ,  5.633 ,  7.460 ,  6.275 ,  2.655 ,  2.435 ,  2.415 ,  3.621 ,  3.348 ,  3.515 ,  3.715 ,  5.821 ,  6.317 ,  6.819 ,  6.082 ,  6.485 ,  4.400 ,  3.546 ,  3.047 ,  3.009 ,  4.009 ,  3.339 ,  4.917 ,  5.637 ,  7.602 ,  8.046 ,  6.525 ,  5.562 ,  2.655 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.842 ,  5.796 ,  5.724 ,  6.813 ,  3.852 ,  5.229 ,  4.815 ,  2.943 ,  2.934 ,  3.699 ,  2.484 ,  3.483 ,  4.590 ,  6.480 ,  7.821 ,
VENTAS,DISTRIBUIDOR8,1002,AGUA1.5CG,PLAN Vta Trade,  12.058 ,  11.489 ,  14.182 ,  11.327 ,  8.598 ,  8.159 ,  6.984 ,  7.909 ,  9.820 ,  11.101 ,  11.415 ,  19.801 ,  16.197 ,  18.162 ,  7.024 ,  12.172 ,  7.549 ,  7.282 ,  6.665 ,  7.309 ,  9.893 ,  9.948 ,  11.054 ,  16.437 ,  14.805 ,  13.864 ,  12.883 ,  9.962 ,  8.508 ,  7.435 ,  7.893 ,  6.532 ,  10.428 ,  9.323 ,  13.899 ,  16.387 ,  15.696 ,  15.012 ,  12.869 ,  1.619 ,  -   ,  -   ,  -   ,  3.366 ,  9.104 ,  11.741 ,  15.770 ,  12.146 ,  12.456 ,  13.446 ,  9.932 ,  11.900 ,  7.329 ,  5.175 ,  8.861 ,  6.596 ,  10.890 ,  8.090 ,  17.528 ,  11.798 ,
VENTAS,DISTRIBUIDOR9,1002,AGUA1.5CG,PLAN Vta Trade,  2.507 ,  2.320 ,  2.934 ,  1.532 ,  1.509 ,  1.265 ,  1.290 ,  1.433 ,  1.519 ,  2.850 ,  1.406 ,  2.745 ,  4.624 ,  965 ,  1.575 ,  1.228 ,  956 ,  1.125 ,  1.381 ,  1.224 ,  1.220 ,  1.681 ,  2.147 ,  2.870 ,  2.348 ,  1.889 ,  2.758 ,  1.689 ,  1.317 ,  1.217 ,  1.432 ,  1.800 ,  1.480 ,  1.731 ,  2.428 ,  3.168 ,  2.389 ,  1.799 ,  762 ,  306 ,  207 ,  27 ,  162 ,- 18 ,  1.260 ,  1.584 ,  2.445 ,  2.771 ,  2.159 ,  2.193 ,  2.015 ,  1.790 ,  1.143 ,  1.016 ,  1.827 ,  1.467 ,  1.692 ,  1.674 ,  2.546 ,  3.375 ,
VENTAS,DISTRIBUIDOR10,1002,AGUA1.5CG,PLAN Vta Trade,  19.081 ,  27.745 ,  20.844 ,  15.480 ,  11.545 ,  12.182 ,  13.373 ,  11.786 ,  15.908 ,  17.367 ,  14.577 ,  22.822 ,  19.028 ,  26.649 ,  15.371 ,  8.542 ,  11.360 ,  9.440 ,  9.616 ,  12.976 ,  11.765 ,  12.473 ,  20.765 ,  24.441 ,  17.296 ,  20.301 ,  16.494 ,  14.131 ,  10.725 ,  11.730 ,  10.796 ,  12.684 ,  13.254 ,  19.285 ,  16.469 ,  22.625 ,  23.313 ,  22.529 ,  17.412 ,  15.579 ,  2.328 ,- 9 ,  -   ,  -   ,  315 ,  864 ,  3.312 ,  7.968 ,  24.056 ,  14.840 ,  14.049 ,  15.199 ,  10.363 ,  9.401 ,  12.785 ,  8.993 ,  12.528 ,  14.102 ,  20.046 ,  19.602 ,
